name,price,description,image_urls
Gold White Brick Diamond Bangle Set,1600,Color Gold White Red  Composition Alloy Stone Closure Slip Ons ,"https://img.faballey.com/images/Product/ZBR00035/d3.jpg,https://img.faballey.com/images/Product/ZBR00035/d4.jpg,https://img.faballey.com/images/Product/ZBR00035/d5.jpg,https://img.faballey.com/images/Product/ZBR00035/d6.jpg,https://img.faballey.com/images/Product/ZBR00035/d7.jpg"
Gold White Faceted Stone Hoop Dangler Earrings,675,This pair of gold plated white drop hoop earrings makes for an elegant and easy addition to your everyday jewellery collection Features gold plated hoops with white faceted stone drops  Style Tip  Pair this with high waited pants and a solid coloured top,"https://img.faballey.com/images/Product/ZEA00264/d3.jpg,https://img.faballey.com/images/Product/ZEA00264/d4.jpg,https://img.faballey.com/images/Product/ZEA00264/d5.jpg,https://img.faballey.com/images/Product/ZEA00264/d7.jpg"
Rose Gold Sleek Hoop Earrings,625,Type Hoop  Color Rose Gold Composition Alloy  Closure Hook Closure,"https://img.faballey.com/images/Product/ZEA00285/d3.jpg,https://img.faballey.com/images/Product/ZEA00285/d4.jpg,https://img.faballey.com/images/Product/ZEA00285/d5.jpg,https://img.faballey.com/images/Product/ZEA00285/d6.jpg"
Gold Kundan Pearl Drop Floral Dangler Earrings,975,This sprightly pair of goldplated kundan dangler earrings is a wedding season essential Featuring a kundan floral motif with a pearl drop this twotiered earring is an effortless addon to any festive outfit   Style Tip Pair the earrings with a deep neck blouse and pulled back hair   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique ,"https://img.faballey.com/images/Product/ZEA00299/d3.jpg,https://img.faballey.com/images/Product/ZEA00299/d4.jpg,https://img.faballey.com/images/Product/ZEA00299/d5.jpg,https://img.faballey.com/images/Product/ZEA00299/d6.jpg"
Gold Kundan Pearl Dangler Jhumki Earrings,600,Delicately detailed in stunning shades this pair of goldplated jhumki earrings will elevate your festive look effortlessly It features petal shaped motifs encrusted with meena and pearl tassel drops  Style Tip Pull your hair black in a soft bun to flaunt these beauties   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00448/d3.jpg,https://img.faballey.com/images/Product/ZEA00448/d4.jpg,https://img.faballey.com/images/Product/ZEA00448/d5.jpg,https://img.faballey.com/images/Product/ZEA00448/d6.jpg"
Gold Green Kundan Meena Circular Ring,600,Give your festive look a traditional Rajasthani touch with this goldplated kundan meena circular ring Encrusted with kundan stones it features green enamel work   Style Tip Pair the ring with a traditional borla maangtika   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZRI00039/d3.jpg,https://img.faballey.com/images/Product/ZRI00039/d4.jpg,https://img.faballey.com/images/Product/ZRI00039/d5.jpg,https://img.faballey.com/images/Product/ZRI00039/d6.jpg,https://img.faballey.com/images/Product/ZRI00039/d7.jpg"
Gold Textured Circular Bunch Dangler Earrings,625,Type Dangler  Color Gold Composition Alloy  Features Textured Detail Closure Ear WireLength  95 Mm,"https://img.faballey.com/images/Product/ZEA00257/d3.jpg,https://img.faballey.com/images/Product/ZEA00257/d4.jpg,https://img.faballey.com/images/Product/ZEA00257/d5.jpg,https://img.faballey.com/images/Product/ZEA00257/d6.jpg"
Gold Green Pearl Jadau Beaded Dangler Earrings,900,Type Dangler  Color Gold White Green Composition Alloy Beads Stones Closure Push BackLength  30 Mm,"https://img.faballey.com/images/Product/ZEA00248/d3.jpg,https://img.faballey.com/images/Product/ZEA00248/d4.jpg,https://img.faballey.com/images/Product/ZEA00248/d5.jpg,https://img.faballey.com/images/Product/ZEA00248/d6.jpg"
Gold Kundan Bracelet With Red Green Delicate Drops,1200,Color Gold White Multicolor Composition Alloy Glass Bead Closure Lobster Clasp Length  150 Mm adjustable,"https://img.faballey.com/images/Product/ZBR00048/d3.jpg,https://img.faballey.com/images/Product/ZBR00048/d4.jpg,https://img.faballey.com/images/Product/ZBR00048/d5.jpg,https://img.faballey.com/images/Product/ZBR00048/d6.jpg"
Gold Handmade Hoop Earrings Set of 3,600,Amp up your style with these handmade goldplated hoop earrings With a fun mix of playful shapes these come in a set of three to add to your casual closet   Style Tip Pair the hoops with a short kurta and palazzo pants Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00335/d3.jpg,https://img.faballey.com/images/Product/ZEA00335/d4.jpg,https://img.faballey.com/images/Product/ZEA00335/d5.jpg"
Gold Kundan Green Bead String Earring Necklace Set,2000,Color  Gold White GreenComposition  Alloy Glass Beads Closure Dori,"https://img.faballey.com/images/Product/ZNS00049/d3.jpg,https://img.faballey.com/images/Product/ZNS00049/d4.jpg,https://img.faballey.com/images/Product/ZNS00049/d5.jpg,https://img.faballey.com/images/Product/ZNS00049/d6.jpg"
Gold Satin Finish Geometric Dangler Earrings,650,Type Dangler  Color Gold Composition Alloy  Closure Push Back,"https://img.faballey.com/images/Product/ZEA00280/d3.jpg,https://img.faballey.com/images/Product/ZEA00280/d4.jpg,https://img.faballey.com/images/Product/ZEA00280/d5.jpg,https://img.faballey.com/images/Product/ZEA00280/d7.jpg"
Rose Gold White Diamond Bracelet,975,Color Rose Gold White  Composition AlloyStone Closure Slip Ons ,"https://img.faballey.com/images/Product/ZBR00032/d3.jpg,https://img.faballey.com/images/Product/ZBR00032/d4.jpg,https://img.faballey.com/images/Product/ZBR00032/d5.jpg,https://img.faballey.com/images/Product/ZBR00032/d6.jpg"
Silver Flora Embossed Dangler Earrings,650,Type Danglers  Color Oxidised Silver Composition Alloy  Closure Ear Wire,"https://img.faballey.com/images/Product/ZEA00291/d3.jpg,https://img.faballey.com/images/Product/ZEA00291/d4.jpg,https://img.faballey.com/images/Product/ZEA00291/d5.jpg,https://img.faballey.com/images/Product/ZEA00291/d7.jpg"
